# source-commit	beff256b491e20508eab0319b23547ff145cfd04
# cargo-lock-sha256	01b65d23eb9d3c589b7f50bd79d9f0ebc7454e836f0abd05734b838952c5437a
package	version	declared_license	source
addr2line	0.25.1	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
adler2	2.0.1	0BSD OR MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
aho-corasick	1.1.4	Unlicense OR MIT	registry+https://github.com/rust-lang/crates.io-index
alloca	0.4.0	MIT	registry+https://github.com/rust-lang/crates.io-index
allocator-api2	0.2.21	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
android_system_properties	0.1.5	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
anes	0.1.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
anstream	0.6.21	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
anstyle	1.0.13	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
anstyle-parse	0.2.7	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
anstyle-query	1.1.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
anstyle-wincon	3.0.11	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
anyhow	1.0.101	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
arc-swap	1.8.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
assert_cmd	2.1.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
autocfg	1.5.0	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
backtrace	0.3.76	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
base64	0.22.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
beads_rust	0.1.14	MIT	git+https://github.com/Dicklesworthstone/beads_rust.git#beff256b491e20508eab0319b23547ff145cfd04
bincode	1.3.3	MIT	registry+https://github.com/rust-lang/crates.io-index
bit-set	0.8.0	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
bit-vec	0.8.0	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
bitflags	2.10.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
block-buffer	0.10.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
bstr	1.12.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
bumpalo	3.19.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
byteorder	1.5.0	Unlicense OR MIT	registry+https://github.com/rust-lang/crates.io-index
camino	1.2.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
cargo-platform	0.3.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
cargo_metadata	0.23.1	MIT	registry+https://github.com/rust-lang/crates.io-index
cast	0.3.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
cc	1.2.55	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
cfg-if	1.0.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
chrono	0.4.43	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
ciborium	0.2.2	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
ciborium-io	0.2.2	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
ciborium-ll	0.2.2	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
clap	4.5.58	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
clap_builder	4.5.58	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
clap_complete	4.5.66	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
clap_derive	4.5.55	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
