package	version	declared_license	delivery_role	note
@esbuild/aix-ppc64	0.25.12	MIT	development_only	Build or browser-test dependency; no package source is included in ui/dist
@esbuild/android-arm	0.25.12	MIT	development_only	Build or browser-test dependency; no package source is included in ui/dist
@esbuild/android-arm64	0.25.12	MIT	development_only	Build or browser-test dependency; no package source is included in ui/dist
@esbuild/android-x64	0.25.12	MIT	development_only	Build or browser-test dependency; no package source is included in ui/dist
@esbuild/darwin-arm64	0.25.12	MIT	development_only	Build or browser-test dependency; no package source is included in ui/dist
@esbuild/darwin-x64	0.25.12	MIT	development_only	Build or browser-test dependency; no package source is included in ui/dist
@esbuild/freebsd-arm64	0.25.12	MIT	development_only	Build or browser-test dependency; no package source is included in ui/dist
@esbuild/freebsd-x64	0.25.12	MIT	development_only	Build or browser-test dependency; no package source is included in ui/dist
@esbuild/linux-arm	0.25.12	MIT	development_only	Build or browser-test dependency; no package source is included in ui/dist
@esbuild/linux-arm64	0.25.12	MIT	development_only	Build or browser-test dependency; no package source is included in ui/dist
@esbuild/linux-ia32	0.25.12	MIT	development_only	Build or browser-test dependency; no package source is included in ui/dist
@esbuild/linux-loong64	0.25.12	MIT	development_only	Build or browser-test dependency; no package source is included in ui/dist
@esbuild/linux-mips64el	0.25.12	MIT	development_only	Build or browser-test dependency; no package source is included in ui/dist
@esbuild/linux-ppc64	0.25.12	MIT	development_only	Build or browser-test dependency; no package source is included in ui/dist
@esbuild/linux-riscv64	0.25.12	MIT	development_only	Build or browser-test dependency; no package source is included in ui/dist
@esbuild/linux-s390x	0.25.12	MIT	development_only	Build or browser-test dependency; no package source is included in ui/dist
@esbuild/linux-x64	0.25.12	MIT	development_only	Build or browser-test dependency; no package source is included in ui/dist
@esbuild/netbsd-arm64	0.25.12	MIT	development_only	Build or browser-test dependency; no package source is included in ui/dist
@esbuild/netbsd-x64	0.25.12	MIT	development_only	Build or browser-test dependency; no package source is included in ui/dist
@esbuild/openbsd-arm64	0.25.12	MIT	development_only	Build or browser-test dependency; no package source is included in ui/dist
@esbuild/openbsd-x64	0.25.12	MIT	development_only	Build or browser-test dependency; no package source is included in ui/dist
@esbuild/openharmony-arm64	0.25.12	MIT	development_only	Build or browser-test dependency; no package source is included in ui/dist
@esbuild/sunos-x64	0.25.12	MIT	development_only	Build or browser-test dependency; no package source is included in ui/dist
